"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
NA,NA,"TUBB","TNFAIP6","SH3RF1","ICAM1","LAMB1"
NA,NA,"MCM3","AL139260.1","CBLB","THBS2","BCAR1"
NA,NA,"IDH2","TAF1D","CTIF","CDH11","GADD45B"
NA,NA,"SMC2","ZNF330","ARID1B","ADAM9","NME3"
NA,NA,"TPX2","LAMTOR3","SGMS1","MMP14","S100A4"
NA,NA,"GGCT","RPS27L","DIP2C","FAP","LAP3"
NA,NA,"HMGB1","SPNS1","NAV3","SPTLC2","RIN2"
NA,NA,"YWHAH","RP9","DOCK10","IL6ST","TBX2"
NA,NA,"DUT","H2AFZ","FBXL17","ASPH","DDIT4"
NA,NA,"CKAP2","ZFAS1","ADAMTS6","OSTM1","BST2"
NA,NA,"SMC4","MED10","PDE4B","INHBA","IFI6"
NA,NA,"PTTG1","AL135905.2","GLI2","SPARC","SHISA5"
NA,NA,"TFDP1","ANKRD1","DIAPH3","IGFBP5","NPC2"
NA,NA,"ATAD2","RAB9A","DYM","ATP2A2","CYB5B"
NA,NA,"TMEM54","MAFG","SNX29","CARMN","RGS10"
NA,NA,"SLC25A5","PPIL4","NEDD4L","ADAMTS12","LGALS3BP"
NA,NA,"FGF1","CHTOP","TRIO","GTF3C1","ZFP36L1"
NA,NA,"MCM4","FST","MIR222HG","TNFSF15","NCOA7"
NA,NA,"LSM3","IFT20","MAPK8","CRIM1","CHCHD10"
NA,NA,"LSM4","HCCS","ETV6","AKAP12","ISG15"
NA,NA,"POLR3K","HIF1A-AS3","SRGAP1","NPTN","SGK1"
NA,NA,"LSM2","SLU7","NCOA2","CCPG1","FILIP1L"
NA,NA,"CMC2","ZNF622","SPIDR","TGOLN2","ITGA2"
NA,NA,"RBBP8","BTG1","FTX","SNX14","NUPR1"
NA,NA,"POP7","BET1L","SMYD3","EDN1","CEBPD"
NA,NA,"DNMT1","CREBRF","KLF12","GANAB","MFGE8"
NA,NA,"NSD2","ERVK3-1","EXT1","LAMB2","ADH5"
NA,NA,"SIVA1","AKAP8L","NEAT1","LNPEP","H1FX"
NA,NA,"MYEOV","LY96","PLCB4","VEGFA","LEPROTL1"
NA,NA,"BCL7C","GTPBP4","LRBA","TMX3","PARP14"
NA,NA,"CARHSP1","MCOLN1","FRMD4A","MACF1","HSBP1L1"
NA,NA,"TUBB4B","AKT1S1","PDZRN3","EDIL3","H1F0"
NA,NA,"FBXL5","FBXL5","FARS2","ANPEP","F3"
NA,NA,"GPN3","MED19","CCBE1","LAMB1","TMX4"
NA,NA,"TOPBP1","C11orf96","RUNX1","AHNAK","CTSD"
NA,NA,"MT1M","TXNIP","SGIP1","NID2","MXD4"
NA,NA,"TUBA1C","SNHG32","CEP85L","DYNC1H1","ID3"
NA,NA,"ZDHHC12","COA6","PSME4","CPED1","GMFG"
NA,NA,"LSM5","TRIP6","DENND1A","HSP90B1","LY6E"
NA,NA,"SLBP","CIR1","KLF7","ECE1","CYB5A"
NA,NA,"HPRT1","UBE2D1","EXOC6B","SRPRA","PLD3"
NA,NA,"FBL","IP6K2","MEIS1","TMEM41B","COMMD3"
NA,NA,"BTG3","WASHC2C","RAPGEF6","MYADM","IFI27"
NA,NA,"HMGN1","STOM","ATG7","NID1","ANXA11"
NA,NA,"GGH","RRAGC","ZCCHC7","SPTBN1","PXDN"
NA,NA,"CTNNAL1","CCNG1","CDK14","P4HA2","SLC31A1"
NA,NA,"CACYBP","CSF2","TCF12","SLC4A7","ST5"
NA,NA,"NUDT21","TDG","STARD13","KIRREL1","EVA1B"
NA,NA,"ANP32B","CYCS","ATP8B1","EMP1","PLSCR1"
NA,NA,"ECI1","BUD31","PTPRM","DNAJC3","AKR1B1"
NA,NA,"COMMD4","SDCBP","MDM2","SERPING1",NA
