Mixture	myCAF	SLC14A1+ FB	AP-1+ FB	PI16+ FB	ISG+ FB	dCAF	FRC	ASPN+ FB	SMC	Pericytes	Urothelial	P-value	Correlation	RMSE	Absolute score (sig.score)
U0001	0.210041640435066	0.107124147084857	0.0864487634777289	0.0719605521017545	0.0581027844241251	0.0263123328335074	0.0252156614641448	0.0153189818174253	0.15428037810571	0.105427285076125	0.00861347317955554	9999	0.0843558210200184	1.00250255418806	0.868846
U0002	0.510156156057842	0.286553194268481	0.178666802616242	0.184775912545085	0.0995992668896517	0.0527670270325302	0.062329521060922	0.035500620318317	0.367613640718381	0.223290417711914	0.0158374407806352	9999	0.124204172203327	1.00125933960499	2.01709
U0006	0.338727609257191	0.173130298927096	0.16884395761247	0.0959312373608238	0.0953979791488947	0.0465433495875787	0.048895293820077	0.0241701267178909	0.254078768748844	0.153691035081343	0.01278034373779	9999	0.082356634905393	1.00203785378138	1.41219
U0007	0.250919781042218	0.140652356233204	0.101720878870389	0.0811645416219361	0.0687486491242215	0.0280497288091535	0.0258474226127618	0.0190000332445056	0.181115772096028	0.115831379602892	0.00892945674268981	9999	0.092443896674898	1.00226190934764	1.02198
U0010	0.821288351824911	0.436910698789184	0.268655155097209	0.282550347670846	0.162706686803783	0.132867390969872	0.214636341139631	0.0553145595356419	0.601013696165547	0.373467110166556	0.0241696618368206	9999	0.0853445307406771	1.00093393041732	3.37358
U0011	0.188450048523009	0.0970418275503962	0.0739504852991353	0.0597853997320221	0.0410558378897871	0.0230352638514915	0.0149858467682143	0.0132220599415369	0.129218573530395	0.0903206787220742	0.0067309781919386	9999	0.0962968876851368	1.00236832850689	0.737797
U0012	0.16473283944859	0.0817725223135057	0.0673882212777045	0.059080715329615	0.0355841496157521	0.0427612090624329	0.0148700920355446	0.0120635733038711	0.124229323844794	0.0744679826060669	0.00758037116212268	9999	0.0740605398737821	1.00139690347318	0.684531
U0013	0.658433225969396	0.340840477246945	0.264270847309584	0.208955328343399	0.124686849171203	0.0878985803812838	0.12146847695165	0.0372015393324394	0.479333656963809	0.28342139740608	0.0188896209242093	9999	0.121543647820762	1.00060717229295	2.6254
U0015	0.488745040284348	0.263236029018814	0.188903755356655	0.155600399859597	0.130092391595817	0.0690558457662886	0.0988906981727258	0.0337730814698117	0.363024343497975	0.226573722279425	0.019134692698543	9999	0.0481885205704354	1.00313362213795	2.03703
U0018	0.441641606477281	0.225509707837708	0.137947078971639	0.157158031796557	0.0867076837874395	0.053740016777815	0.0566462165274574	0.0341944195448548	0.312522922631834	0.189969015745358	0.0126432999020564	9999	0.122735585280265	1.00168522863932	1.70868
U0023	0.489297559102967	0.287586738365614	0.16284909099748	0.172097421026909	0.0984782871476181	0.0577717388472088	0.0504803415614348	0.031448439781053	0.345483229394152	0.206571741576385	0.0161554121991767	9999	0.129342028519854	1.0005670675349	1.91822
U0024	0.484861818420364	0.238309368256496	0.185858580354339	0.158555438203552	0.0949767243800071	0.0564109358298259	0.054258243346735	0.0323124193212431	0.342934777750851	0.207151865858857	0.0163998282777292	9999	0.0675278804726904	1.00370702798129	1.87203
U0026	0.179721187030937	0.095833467877106	0.074860344194548	0.0555039079766689	0.0560917428623981	0.0227148529622395	0.03840268789372	0.0126818494698495	0.141552445110968	0.0823073091068148	0.00702020551474955	9999	0.103170254289151	1.00078139550372	0.76669
U0027	0.243606291874492	0.141939143428921	0.0866736200305624	0.0760770208658988	0.0549442093500586	0.0291839335066378	0.0245903612820539	0.0165201301078877	0.171016224925779	0.105284254274424	0.00741781035328463	9999	0.100723868892103	1.00173174193668	0.957253
U0028	0.231314764398405	0.136321845772935	0.0752990585786958	0.0759963414996143	0.0485284037335685	0.0377316883007169	0.0245101719543146	0.0163371186982997	0.162910549325176	0.0999120163053916	0.00815104143288294	9999	0.0825852575512084	1.0017997646534	0.917013
U0032	0.14707354353621	0.0874645553627387	0.0540582479180568	0.0484813555869547	0.0370982416232806	0.015012272888778	0.0205618864525059	0.00990896588927946	0.10661123546754	0.0657567591965425	0.00593593607811389	9999	0.124680621530138	1.00047899109451	0.597963
U0035	0.529672110890144	0.279780515629424	0.171685179148979	0.209173733328398	0.0993923396808089	0.0483878812220131	0.0630796414496687	0.0346041523922197	0.36940499424261	0.224740165596916	0.0150592864188181	9999	0.149349891027152	1.00068005755002	2.04498
U0036	0.308467346732246	0.177733579213866	0.113311094871208	0.100621339191806	0.0719986955427823	0.0360897095693222	0.0360093955581683	0.0250463143314351	0.217170469158108	0.138156853350242	0.0107252024808151	9999	0.105661230097736	1.0015082926643	1.23533
U0037	0.250912625190461	0.136120444772932	0.0890493233526035	0.0861516844176601	0.0642784429433963	0.0282259920365409	0.0348614774640173	0.0218929340666766	0.189466080344626	0.113647982338402	0.00865301307268438	9999	0.0922646928278597	1.00248359924352	1.02326
U0038	0.150456177002449	0.0823385287124976	0.061002305911493	0.059332746949066	0.0391909971637058	0.0569724206667166	0.0167411125852777	0.0162276945701412	0.121060983119682	0.0743970214567201	0.0063000118622509	9999	0.0757765739549514	1.00040790798386	0.68402
U0039	0.523582365557063	0.245438639536698	0.198907703241281	0.18190958335101	0.106353789051808	0.0836726985334099	0.0511986484383214	0.0353927163471217	0.373656699475667	0.230455611042821	0.0190515454248	9999	0.08437022154016	1.00266272386792	2.04962
U0041	0.263186624206928	0.150480555970114	0.0917383637859569	0.0918223350912282	0.0608163822755198	0.0364588689787873	0.032463008011897	0.0179816925370048	0.190361966167685	0.116109678927197	0.00957052404768125	9999	0.0613843232441986	1.00311768445748	1.06099
U0042	0.220101645158503	0.116032275655685	0.0778887925299898	0.0760253360412727	0.0458318604100072	0.0384402816666008	0.0192377360904619	0.0183294092848579	0.154001502819347	0.106859058505732	0.00761710183754289	9999	0.066080187193386	1.00274223580649	0.880365
